,ID,MOLD_ID,CT,TFF
65,103717,D,0,19700101090000
67,103723,E,500,20210713111224
68,103725,E,0,20210713121224
69,103727,E,0,20210713131225
70,103729,E,0,20210713141226
71,103731,E,0,20210713151227
72,103733,E,0,20210713161228
73,103735,E,0,20210713171229
74,103737,E,0,20210713181230
75,103739,E,0,20210713191231
76,103741,E,0,20210713201232
77,103743,E,0,20210713211233
78,103745,E,0,20210713221234
79,103757,E,0,20210713231235
80,103759,E,0,20210714001236
81,103761,E,0,20210714011237
82,103763,E,0,20210714021238
83,103765,E,0,20210714021238
84,103767,E,0,19700101090000
85,103769,E,0,19700101090000
86,103771,E,0,19700101090000
305,104613,B,0,20210408061201
306,104615,B,0,20210408071202
307,104617,B,0,20210408081203
308,104619,B,0,20210407151146
309,104621,B,0,20210407161147
310,104623,B,0,20210407171148
311,104640,B,0,20210407181149
312,104642,B,0,20210407191150
313,104644,B,0,20210407201151
314,104646,B,0,20210407211152
315,104648,B,0,20210407221153
316,104650,B,0,20210407231154
317,104652,B,0,20210408001155
318,104654,B,0,20210408011156
319,104656,B,0,20210408021157
320,104658,B,0,20210408031158
321,104660,B,0,20210408041159
322,104662,B,0,19700101020000
329,104692,B,0,19700101020000
515,105481,B,806,20210429112306
596,105822,B,0,20210429122310
655,106067,B,0,20210429132312
732,106309,B,0,20210429142314
791,106532,B,0,20210429152317
849,106754,B,0,20210429162321
910,106976,B,0,20210429172323
968,107195,B,0,20210429182325
1026,107414,B,0,20210429192327
1084,107633,B,0,20210429202329
1142,107852,B,0,20210429212331
1200,108071,B,0,20210429222333
1206,108083,B,0,20210429222333
1264,108308,B,0,20210429233023
1322,108527,B,0,20210430003025
1380,108746,B,0,20210430013028
1438,108969,B,0,20210430023030
1767,110890,F,0,19700101020000
1992,111619,C,0,19700101020000
2030,111758,F,2,20210513084331
1466,120854,D,0,20211024171850
1467,120856,D,0,20211024181851
1468,120858,D,0,20211024191852
1469,120860,D,0,20211024201853
1470,120862,D,0,20211024211854
1471,120864,D,0,20211024221855
1472,120866,D,0,20211024231856
1473,120868,D,0,20211025001857
1474,120870,D,0,20211025011858
1475,120872,D,0,20211025021859
1476,120874,D,0,20211025031900
1477,120876,D,0,20211025041901
1478,120878,D,0,20211025051902
1479,120880,D,652,20211025061903
1480,120882,D,651,20211025071904
1481,120899,D,651,20211025081905
1482,120901,D,651,20211025091906
1483,120903,D,651,20211025101907
1484,120905,E,0,20211024172142
1485,120907,E,0,20211024182143
1486,120909,E,0,20211024192144
1487,120911,E,0,20211024202145
1488,120913,E,0,20211024212146
1489,120915,E,0,20211024222147
1490,120917,E,0,20211024232148
1491,120919,E,0,20211025002149
1492,120921,E,0,20211025012150
1493,120923,E,0,20211025022151
1494,120925,E,0,20211025032152
1495,120927,E,0,20211025042153
1496,120935,E,222,20211025052154
1497,120937,E,222,20211025062155
1498,120939,E,222,20211025072156
1499,120941,E,222,20211025082157
1500,120943,E,222,20211025092158
1501,120945,E,222,20211025102159
1502,120974,D,651,20211025111307
1503,120976,E,221,20211025111647
1504,120993,D,651,20211025120456
1505,120995,E,222,20211025120835
1506,121013,D,651,20211025130459
1507,121015,E,222,20211025130838
1508,121029,D,651,20211025140501
1509,121031,E,222,20211025140841
1510,121047,D,651,20211025150503
1511,121049,E,76,20211025150844
1512,121066,D,651,20211025160508
1513,121068,E,222,20211025160849
1514,121084,D,651,20211025170510
1515,121086,E,223,20211025170854
1516,121102,D,651,20211025180512
1517,121104,E,223,20211025180856
1518,121120,D,651,20211025190517
1519,121122,E,223,20211025190859
1520,121138,D,651,20211025200519
1521,121140,E,223,20211025200901
1522,121157,D,651,20211025210521
1523,121159,E,223,20211025210903
1524,121175,D,651,20211025220522
1525,121177,E,223,20211025220905
1526,121193,D,651,20211025230527
1527,121195,E,223,20211025230910
1528,121211,D,651,20211026000532
1529,121213,E,223,20211026000912
1530,121229,D,651,20211026010532
1531,121231,E,223,20211026010911
1532,121249,D,651,20211026020535
1533,121251,E,223,20211026020913
1534,121269,D,651,20211026030536
1535,121271,E,223,20211026030915
1536,121287,D,651,20211026040538
1537,121289,E,223,20211026040918
1538,121307,D,651,20211026050540
1539,121309,E,223,20211026050923
1540,121325,D,651,20211026060542
1541,121327,E,223,20211026060925
1542,121343,D,651,20211026070543
1543,121345,E,223,20211026070930
1544,121361,D,651,20211026080548
1545,121363,E,173,20211026080935
1546,121379,D,651,20211026090550
1547,121381,E,0,20211026090937
1548,121397,D,651,20211026100552
1549,121399,E,223,20211026100942
1550,121416,D,651,20211026110554
1551,121418,E,223,20211026110944
1552,121434,D,651,20211026120557
1553,121436,E,223,20211026120949
1554,121452,D,651,20211026130559
1555,121454,E,223,20211026130951
1556,121470,D,651,20211026140602
1557,121472,E,223,20211026140956
1558,121488,D,651,20211026150603
1559,121490,E,223,20211026150958
1560,121521,D,651,20211026160605
1561,121523,E,223,20211026161002
1562,121539,D,651,20211026170608
1563,121541,E,223,20211026171004
1564,121557,D,651,20211026180610
1565,121559,E,223,20211026181006
1566,121575,D,651,20211026190611
